cut_conductance,lambda_2,upper_bound
0.0004324971635754168,0.00012253573732101794,0.00012254086301303476
0.00044948961812434605,0.00012734985542762488,0.00012735539180189806
0.00046714969210737796,0.000132353099468759,0.00013235907943042374
0.0004855036157379002,0.0001375528987022723,0.00013755935779240507
0.0005045786497926114,0.0001429569741665995,0.00014296395077457324
0.0005244031261014964,0.00014857335013818138,0.0001485808857287573
0.0005450064896286245,0.0001544103660348087,0.00015441850539477694
0.0005664193422062594,0.00016047668878666721,0.00016048548029177348
0.0005886734879872541,0.000166781325694464,0.00016679082159638865
0.000611801980683227,0.0001733336377898849,0.00017334389452691433
0.0006358391726586874,0.0001801433537212318,0.00018015443225329476
0.0006608207659540327,0.000187220584181829,0.0001872325503536426
0.00068678386531319,0.0001945758369072155,0.00019458876183873716
0.0007137670332946767,0.00020222003225667918,0.00020223399276682506
0.0007418103475479249,0.00021016451940986623,0.00021017959847191204
0.0007709554603399424,0.00021842109319446338,0.00021843738042965036
0.0008012456604207365,0.00022700201157481057,0.00022701960378587532
0.0008327259373193655,0.0002359200138284866,0.00023593901557382023
0.0008654430481661423,0.00024518833943155933,0.00024520886364707363
0.0008994455871402172,0.00025482074768557264,0.00025484291635639487
0.0009347840576456998,0.00026483153811507576,0.00026485548299961495
0.0009715109473235286,0.0002752355716606366,0.0002752614350749998
0.0010096808060104819,0.0002860482927067968,0.00028607622836963653
0.0010493503267611473,0.00029728575196926924,0.0002973159259156584
0.001090578430053166,0.0003089646302797932,0.00030899722184839706
0.0011334263513008381,0.0003211022633036087,0.0003211374662019041
0.0011779577318070593,0.000333716667222111,0.0003337546906786668
0.0012242387132886878,0.00034682656542422204,0.00034686763543179485
0.001272338036115737,0.00036045141624048074,0.0003604957768994588
0.0013223271414102968,0.0003746114417640652,0.0003746593567329174
0.0013742802771568436,0.00038932765779886054,0.0003893794118611057
0.0014282746084815286,0.0004046219049784538,0.0004046778057364331
0.0014843903322642566,0.0004205168811057192,0.00042057726080820603
